time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.680856017513271e-07,2.7725367099280017e-07,10.003023162514577,0.00026518864376789963,0.0005345518912562852,0.0,-5.387609159852671e-05,2.4018553349003713e-05,0.10076776561993779,0.012049880500954152,0.022506695358477116,0.0,435.7125856847961,437.58974326075423,437.13274541921237,438.1354750658591
0.12000000000000001,-2.4771513920861817e-05,1.2418745161112717e-05,10.018151394611648,0.001016583735922616,0.001724850410736778,0.0,-0.0009180715801766922,0.00047802912367387245,0.40344868364242603,0.013453563838118715,0.013882102747170518,0.0,496.988641572334,496.3561365313396,497.472687692903,497.5753032294161
0.18,-0.0001232571979970725,6.801623282562493e-05,10.047814200814097,0.0017781244760017856,0.002518614972495392,0.0,-0.0024574986097990544,0.001464696310332493,0.5852352690826088,0.011124742539037006,0.011891016156515676,0.0,462.6695965127406,462.5127089492995,462.1423505373508,461.95865589576454
0.23999999999999996,-0.00033569356812471505,0.00020268523539898668,10.089617515908929,0.0028115794313485765,0.0035755040686771267,0.0,-0.004732080149765495,0.003128842632304277,0.8080769531081656,0.027254615056468853,0.02712732684601969,0.0,474.27626568891145,475.44479442154744,473.8501628591179,475.0882446368476
0.3,-0.0006939378003923663,0.00045007858701010645,10.13961885273031,0.0041244635552804,0.004837233850772726,0.0,-0.007350036259977086,0.005259954462367881,0.8585963103204824,0.008068735628160177,0.004606599138541863,0.0,422.95479393950063,421.01102500471217,422.02732911383185,420.36832735044345
0.36000000000000004,-0.001247494735520355,0.0008633093400974062,10.196517231900657,0.0040625328499803715,0.004812193203201254,0.0,-0.011118412722395752,0.008554528961212816,1.037870276802425,-0.03394238801447704,-0.013069827607742605,0.0,463.4088793442016,462.0175152078869,463.2147269517057,459.89958795000587
0.4200000000000001,-0.0020153995328889007,0.0014561074682232277,10.2627290945206,0.0019132952099543132,0.004028060385482313,0.0,-0.014394233787262919,0.010982111267400755,1.1690676718668593,-0.039868903120497394,-0.01306698585481355,0.0,448.9088563943252,448.9092068027152,446.89869711796365,446.41485019986965
0.48000000000000015,-0.0029618159581386795,0.002146391872326711,10.336518198090637,6.282749302818017,0.00329066319579141,0.0,-0.017072539796236415,0.011777893484431399,1.2904403232636985,-0.03776443911282823,-0.010779518464992506,0.0,444.6392633799143,444.82672380304626,445.18559270354183,445.3569721019303
0.5400000000000001,-0.004047060467975434,0.0028367245275387385,10.415507226939692,6.280612385228812,0.0023343899868670803,0.0,-0.019028675345018106,0.011024621032927133,1.342467441290914,-0.031631391333117036,-0.02902935083404876,0.0,424.24660795933715,422.6769243534232,422.4527676165817,422.98057983592054
0.6000000000000002,-0.005234850245220442,0.003431063287712725,10.50133176357855,6.278623257049034,0.0003063708554869038,0.0,-0.020353159453064283,0.00856752171732688,1.51813349477179,-0.03638097729551734,-0.04563886246083363,0.0,463.4820908336919,462.1745027342005,461.4585143253361,461.0830835972006
0.6600000000000003,-0.0064518906736352015,0.0038376216912481553,10.596450859057995,6.275952959494022,6.2809328961145745,0.0,-0.019932016469288046,0.004735885334194581,1.6523172635346868,-0.07037578362331862,-0.037249497822001716,0.0,449.92413695745677,450.6017961925562,450.8579161817746,448.1017003775873
0.7200000000000003,-0.0075949680583772645,0.003962392637690106,10.697841591848116,6.271931091015226,6.278921818990671,0.0,-0.01796307410137475,-0.000980426733293206,1.7272594486570159,-0.06106711248320083,-0.026941727763093743,0.0,431.15069584172306,432.0201200759811,431.2035571561427,431.98561074395724
0.7800000000000004,-0.008581577007600915,0.003665129289094458,10.803791853107116,6.268063690089042,6.276995158773969,0.0,-0.014752506936592679,-0.009297168649033063,1.8042919203835794,-0.07227990175189217,-0.04523610442029445,0.0,433.3767197194475,431.8358999826478,432.90115052193374,431.9534471347397
0.8400000000000004,-0.00931900143849643,0.0027542629803496443,10.916568135413664,6.263879981693329,6.274797084098367,0.0,-0.009565454670627497,-0.0215268721746237,1.9546630001269292,-0.06506227870623936,-0.02340626348738539,0.0,454.6453372671625,456.3902093896473,455.72327655755583,456.2962042733733
0.9000000000000005,-0.009699510675772707,0.0010124323686901146,11.03867162496028,6.2600882257597075,6.274090834665262,0.0,-0.003010870750403958,-0.03695501753201705,2.1151603024707413,-0.05970416165724932,0.004847295192811749,0.0,458.1833428074286,460.42401605438044,459.25448028488444,459.6764813075989
0.9600000000000005,-0.009714089263611695,-0.0016409615604301392,11.166280270846158,6.256695034565887,6.274161113348892,0.0,0.002507055288470244,-0.05180591372969963,2.138409770251913,-0.05089967995686259,-0.0074392131913086435,0.0,417.46467948705373,416.3912439010158,415.4574990599027,416.22626537347406
1.0200000000000005,-0.00936215117479516,-0.005347359711651952,11.299036793998766,6.25390645233138,6.273467226327352,0.0,0.009282071979708628,-0.07205034148051469,2.2865131256653974,-0.03884359630875406,-0.021452152124157856,0.0,457.00430722121297,455.88616476684325,455.7672659978276,456.72851308227246
1.0800000000000005,-0.008618142135260723,-0.0102294379112185,11.43737830909873,6.25141595924412,6.27245605143905,0.0,0.015623013198428418,-0.09090654540479319,2.3247845382074734,-0.047453609205864354,-0.00895621616362156,0.0,421.6668015411274,422.7449311777473,422.47508752450915,421.7310403045129
1.1400000000000006,-0.007484141327212177,-0.016271386401926557,11.577394174271653,6.24861634857441,6.2723353076865465,0.0,0.022203738188678768,-0.11074412048308489,2.342364889371144,-0.04511923593568769,0.009145353598087026,0.0,414.41333131909346,416.00140817637316,415.62195333762276,415.8250297704913
